grama,grama,arvore_ce,arvore_cd,arvore_ce,arvore_cd,arvore_ce,arvore_cd,arvore_ce,arvore_cd,arvore_ce,arvore_cd,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,flor_roxa,grama,grama,grama,arbusto,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,grama,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,
grama,grama,arvore_be,arvore_bd,arvore_be,arvore_bd,arvore_be,arvore_bd,arvore_be,arvore_bd,arvore_be,arvore_bd,arvore_be,arvore_bd,grama,grama,arvore_be,arvore_bd,arbusto,grama,grama_ce,terra_c,grama_cd,grama,grama,flor_roxa,arvore_be,arvore_bd,grama,grama,grama,grama,grama,grama,grama,arvore_be,arvore_bd,grama,grama,grama,arvore_be,arvore_bd,grama,grama,grama,grama,arvore_be,arvore_bd,grama,grama,arvore_be,arvore_bd,grama,grama,arvore_be,arvore_bd,arvore_ce,arvore_cd,
grama,arvore_ce,arvore_cd,grama_ce,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,grama_cd,grama,arvore_ce,arvore_cd,flor_rosa,grama,grama,grama_ce,agua_ce,agua_c,agua_cd,terra_c,grama_cd,grama,arbusto,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,parede_ce,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_cd,arvore_be,arvore_bd,
grama,arvore_be,arvore_bd,terra_e,teto2,teto2,teto2,teto2,teto2,teto2,teto2,teto2,terra_d,grama,arvore_be,arvore_bd,grama,grama,grama_ce,agua_ce,agua,agua,agua,agua_c,agua_cd,grama_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,terra_e,teto2,teto2,teto2,teto2,teto2,teto2,teto2,teto2,terra_d,arbusto,grama,flor_rosa,arbusto,grama,terra_e,agua_e,agua,agua,agua,agua,agua_d,terra_d,grama,flor_rosa,arvore_be,arvore_bd,grama,grama,arvore_be,arvore_bd,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,flor_roxa,terra_e,teto2,teto2,teto2,teto2,teto2,teto2,teto2,teto2,terra_d,flor_roxa,arvore_ce,arvore_cd,grama,grama_ce,agua_ce,agua,agua,agua,agua,agua,agua,agua_cd,grama_cd,grama,grama,grama,grama,grama,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_ce,arvore_cd,
grama,grama,arbusto,terra_e,casa_e,casa_m,casa_m,casa_m,casa_m,casa_m,casa_m,casa_d,terra_d,grama,arvore_be,arvore_bd,grama,terra_e,agua_e,agua,agua,agua,agua,agua,agua,agua_d,terra_d,grama,arbusto,grama,arvore_ce,arvore_cd,grama,grama,grama,arvore_be,arvore_bd,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_be,arvore_bd,
flor_rosa,grama,grama,terra_e,casa_e,casa_m,casa_m,casa_m,casa_m,casa_m,casa_m,casa_d,terra_d,arbusto,grama,grama,grama_ce,agua_ce,agua,agua,agua,agua,agua,agua,agua,agua_d,terra_d,grama,grama,grama,arvore_be,arvore_bd,grama,grama,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,terra_e,casa_be,casa_p,casa_j,casa_b,casa_b,casa_j,casa_p,casa_bd,terra,terra_c,terra_c,terra_c,terra,agua_e,agua,agua,agua,agua,agua,agua,agua,agua_bd,grama_bd,grama,grama,grama,arbusto,grama,grama,arbusto,grama,grama,arbusto,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,flor_roxa,grama,grama_be,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,agua_be,agua_b,agua_b,agua,agua,agua,agua,agua_bd,grama_bd,grama,arvore_ce,arvore_cd,grama,grama,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,parede_be,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,arbusto,terra_e,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,agua_be,agua_b,agua_b,agua_bd,grama_bd,grama,grama,arvore_be,arvore_bd,grama,grama,grama,grama,grama,arvore_be,arvore_bd,grama,grama,grama,grama,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,arbusto,flor_rosa,grama,terra_e,terra,terra,terra,terra,terra,terra,terra,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,grama,grama,arbusto,grama,grama,grama,arbusto,grama,grama,flor_roxa,grama,grama,grama,flor_roxa,grama,arbusto,grama,flor_rosa,arvore_ce,arvore_cd,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_ce,arvore_cd,
grama,grama,grama,grama,terra_e,terra,terra,terra,terra,terra,terra,terra_d,arbusto,grama,grama,grama,grama,arbusto,grama,grama,grama,grama,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,arvore_ce,arvore_cd,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,arvore_be,arvore_bd,grama,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_be,arvore_bd,
grama,grama,arbusto,grama,grama_be,terra,terra,terra,terra,terra,terra,grama_bd,grama,arvore_ce,arvore_cd,arbusto,arvore_ce,arvore_cd,flor_roxa,grama,arbusto,grama,arvore_be,arvore_bd,grama,grama,arvore_be,arvore_bd,flor_rosa,grama,arvore_be,arvore_bd,grama,arbusto,grama,grama,arbusto,grama,flor_roxa,arvore_ce,arvore_cd,grama,grama,flor_roxa,grama,parede_vertical,tijolo,tijolo,tijolo,parede_ce,parede_horizontal,tijolo,tijolo,tijolo,parede_horizontal,parede_vertical,grama,grama,
grama,flor_rosa,grama,flor_roxa,grama,terra_e,terra,terra,terra,terra,terra_d,grama,grama,arvore_be,arvore_bd,grama,arvore_be,arvore_bd,flor_rosa,grama,grama,grama,grama,grama,arbusto,grama,grama,grama,grama,grama,grama,grama,grama,grama,flor_rosa,grama,grama,grama,grama,arvore_be,arvore_bd,arbusto,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,arbusto,terra_e,terra,terra,terra,terra,terra_d,arbusto,grama,grama,arvore_ce,arvore_cd,grama,grama,arbusto,grama,grama,arbusto,grama,grama,grama,grama,grama,arbusto,grama,grama,arbusto,grama,grama,grama,arvore_ce,arvore_cd,grama,flor_rosa,grama,grama,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,grama,grama_be,terra,terra,terra,terra,grama_bd,grama,arvore_ce,arvore_cd,arvore_be,arvore_bd,grama,arvore_ce,arvore_cd,flor_roxa,grama,grama,grama,flor_rosa,arvore_ce,arvore_cd,grama,grama,grama,grama,grama,grama,grama,arbusto,arvore_be,arvore_bd,grama,grama,grama,arbusto,grama,flor_roxa,grama,arbusto,grama,parede_vertical,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,arbusto,grama,flor_rosa,grama,grama,terra_e,terra,terra,terra_d,grama,grama,arvore_be,arvore_bd,grama,grama,flor_rosa,arvore_be,arvore_bd,grama,arbusto,grama,grama,grama,arvore_be,arvore_bd,grama,grama,grama,arbusto,grama,flor_roxa,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,parede_vertical,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,grama,arbusto,terra_e,terra,terra,terra_d,arbusto,grama,grama,grama,arbusto,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,grama,arbusto,grama,grama,grama,grama,grama,grama,grama,grama,arbusto,grama,grama,grama,parede_ce,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_bd,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,flor_rosa,grama,terra_e,terra,terra,terra,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,terra_c,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_ce,arvore_cd,
grama,flor_roxa,grama,grama,grama,grama,terra_e,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,arvore_be,arvore_bd,
grama,grama,arbusto,grama,grama,grama,terra_e,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,terra,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,arbusto,grama,grama_be,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,terra_b,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,tijolo,tijolo,tijolo,tijolo,tijolo,parede_vertical,grama,grama,
grama,grama,grama,grama,flor_roxa,grama,grama,grama,flor_rosa,grama,grama,grama,arbusto,grama,grama,arbusto,grama,grama,grama,flor_roxa,grama,arbusto,grama,flor_rosa,grama,grama,arbusto,grama,arvore_ce,arvore_cd,flor_roxa,arbusto,grama,grama,arvore_ce,arvore_cd,arbusto,grama,arvore_ce,arvore_cd,parede_be,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_bd,grama,grama,
